"Date"	"Player"	"Reason"	"Amount"
"2025-11-22 23:49:03"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 23:48:30"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-22 23:48:12"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 23:38:43"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 23:17:22"	"RovenXii"	"Deposit"	"10"
"2025-11-22 23:14:08"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 23:13:36"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-22 22:59:19"	"Oxyjhin"	"Deposit"	"7"
"2025-11-22 22:49:38"	"Oxyjhin"	"Deposit"	"10"
"2025-11-22 22:49:31"	"RovenXii"	"Deposit"	"10"
"2025-11-22 21:49:07"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 21:30:57"	"Nexara"	"Withdrawal"	"-10"
"2025-11-22 21:21:01"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-22 21:20:01"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-22 21:19:39"	"Nexara"	"Withdrawal"	"-10"
"2025-11-22 21:19:15"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 20:50:10"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-22 20:50:10"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 20:49:41"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-22 20:07:32"	"RovenXii"	"Deposit"	"10"
"2025-11-22 19:44:30"	"FizzyOrange"	"Deposit"	"10"
"2025-11-22 19:33:55"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 19:32:22"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 19:32:22"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-22 19:31:34"	"Oxyjhin"	"Deposit"	"30"
"2025-11-22 19:13:56"	"Nexara"	"Withdrawal"	"-10"
"2025-11-22 19:04:53"	"Nexara"	"Withdrawal"	"-10"
"2025-11-22 18:36:20"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-22 18:22:26"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-22 17:44:55"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-22 17:44:11"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-22 17:39:18"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-22 16:38:20"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 16:37:30"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-22 16:34:51"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 16:30:18"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-22 16:26:50"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 16:03:05"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-22 15:33:27"	"Oxyjhin"	"Deposit"	"50"
"2025-11-22 14:30:22"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-22 14:07:12"	"jamjar97"	"Deposit"	"7"
"2025-11-22 14:06:04"	"jamjar97"	"Deposit"	"5"
"2025-11-22 13:52:22"	"RovenXii"	"Deposit"	"2"
"2025-11-22 10:10:17"	"StrikeDestiny"	"Withdrawal"	"-6"
